"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"B9P-VH";"B9P-VH";"BATT, VOLT_TAPS";"Wire-to-Board 3.96mm pitch top mount connector";"";
"8";"";"DIODESOD-523";"SOD-523";"D3C, D4C, D5C, D6C, D9C, D10C, D11C, D12C";"Diode";"";
"8";"";"LEDCHIPLED_0805";"CHIPLED_0805";"D3D, D4D, D5D, D6D, D9D, D10D, D11D, D12D";"LED";"";
"4";"0";"R-US_R2512";"R2512";"R11, R12, R15, R16";"RESISTOR, American symbol";"";
"8";"0.005";"R-US_R1206";"R1206";"RS3A, RS4A, RS5A, RS6A, RS9A, RS10A, RS11A, RS12A";"RESISTOR, American symbol";"";
"8";"0.01";"R-US_R1206";"R1206";"RS3B, RS4B, RS5B, RS6B, RS9B, RS10B, RS11B, RS12B";"RESISTOR, American symbol";"";
"2";"0.1uF";"CAP";"0805";"C3, C7";"";"";
"2";"0.22uF";"CAP";"0805";"C4, C8";"";"";
"11";"01530008Z";"01530008Z";"01530008";"F3, F4, F5, F6, F9, F10, F11, F12, F13, F14, F15";"Check availability";"";
"2";"1.0uF";"CAP";"0805";"C1, C5";"";"";
"2";"1.27M";"RES";"0805";"R4, R8";"";"";
"1";"100k";"RES";"0805";"R53";"";"";
"16";"100uF";"C-USC1210";"C1210";"C3A, C3B, C4A, C4B, C5A, C5B, C6A, C6B, C9A, C9B, C10A, C10B, C11A, C11B, C12A, C12B";"CAPACITOR, American symbol";"";
"1";"10uF";"CAP";"0805";"C24";"";"";
"2";"1M";"RES";"0805";"R1, R7";"";"";
"2";"1N4448HWT-7";"1N4448HWT-7";"SODFL1608X65N";"D10, D13";"Check availability";"";
"8";"1uF";"CAP";"0805";"C3K, C4K, C5K, C6K, C9K, C10K, C11K, C12K";"";"";
"8";"2.2nF";"CAP";"0805";"C3G, C4G, C5G, C6G, C9G, C10G, C11G, C12G";"";"";
"8";"2.2uF";"C-USC1210";"C1210";"C3R, C4R, C5R, C6R, C9R, C10R, C11R, C12R";"CAPACITOR, American symbol";"";
"16";"20";"R-US_R1206";"R1206";"R3A, R3B, R4A, R4B, R5A, R5B, R6A, R6B, R9A, R9B, R10A, R10B, R11A, R11B, R12A, R12B";"RESISTOR, American symbol";"";
"18";"20";"RES";"0805";"R3G, R3H, R4G, R4H, R5G, R5H, R6G, R6H, R9G, R9H, R10G, R10H, R11G, R11H, R12G, R12H, R54, R55";"";"";
"3";"23.7k";"RES";"0805";"R19, R21, R24";"";"";
"13";"2501-2-00-80-00-00-07-0";"2501-2-00-80-00-00-07-0";"MILMAX_2501-2-00-80-00-00-07-0";"E1, E4, E5, E6, E7, E8, E11, E12, E13, E14, E15, WDTA, WDTC";"";"";
"8";"2k";"R-US_R0805";"R0805";"R3J, R4J, R5J, R6J, R9J, R10J, R11J, R12J";"RESISTOR, American symbol";"";
"2";"2k";"RES";"0805";"R56, R58";"";"";
"2";"33.2k";"RES";"0805";"R20, R22";"";"";
"11";"4.7uF";"C-USC1210";"C1210";"C2, C6, C9, C10, C11, C12, C13, C15, C16, C17, C18";"CAPACITOR, American symbol";"";
"24";"470pF";"CAP";"0805";"C3E, C3F, C3H, C4E, C4F, C4H, C5E, C5F, C5H, C6E, C6F, C6H, C9E, C9F, C9H, C10E, C10F, C10H, C11E, C11F, C11H, C12E, C12F, C12H";"";"";
"16";"5.1";"RES";"0805";"R3C, R3F, R4C, R4F, R5C, R5F, R6C, R6F, R9C, R9F, R10C, R10F, R11C, R11F, R12C, R12F";"";"";
"2";"6.81";"RES";"0805";"R6, R10";"";"";
"8";"750312504";"750312504";"WE-FLYLT_EP13_2381";"T3, T4, T5, T6, T9, T10, T11, T12";"";"";
"2";"BSS123W";"BSS123W";"TRANS_BSS123W";"Q1, Q2";"Check availability";"";
"2";"CMHZ4689";"DIODESOD-123";"SOD-123";"D8, D12";"Diode";"";
"1";"CMPT3904E_TR_PBFREE";"CMPT3904E_TR_PBFREE";"CMPT-3904-NPN_CNS";"Q6";"";"";
"8";"DFLS1100-7";"DFLS1100-7";"DIO_DFLS1100-7";"D3B, D4B, D5B, D6B, D9B, D10B, D11B, D12B";"";"";
"8";"DFLS260Q-7";"DFLS260Q-7";"SDO_POWERDI123_DIO";"D3A, D4A, D5A, D6A, D9A, D10A, D11A, D12A";"";"";
"1";"FDN5618P";"FDN5618P";"SSOT-3";"Q5";"";"";
"2";"LTC3300ILXE-1PBF";"LTC3300ILXE-1PBF";"05-08-1832_ADI";"U1, U2";"";"";
"1";"MMBT3906LT1G";"MMBT3906LT1G";"SOT95P240X111-3N";"Q4";"";"";
"2";"PDZ5.6B";"DIODESOD-323F";"SOD-323F";"D9, D11";"Diode";"";
"1";"PINHD-1X4";"PINHD-1X4";"1X04";"COMM";"Pin Header";"";
"3";"RS07J-GS18";"RS07J-GS18";"SODFL3718X108N";"D5, D6, D7";"Check availability";"";
"8";"SBR10U200P5";"SBR10U200P5";"POWERDI5";"D3E, D4E, D5E, D6E, D9E, D10E, D11E, D12E";"";"";
"8";"SIR882DP-T1-GE3";"SIR882DP-T1-GE3";"POWERPAK_SO-8_SINGLE_VIS";"Q3A, Q4A, Q5A, Q6A, Q9A, Q10A, Q11A, Q12A";"";"";
"8";"SIS468DN-T1-GE3";"SIS468DN-T1-GE3";"VISHAY_SIS468DN-T1-GE3";"Q3B, Q4B, Q5B, Q6B, Q9B, Q10B, Q11B, Q12B";"Check availability";"";
"4";"WE-TVSP_DO-214AA_600W_UNI";"WE-TVSP_DO-214AA_600W_UNI";"WE-TVSP_DO-214AA_UNIDIRECTIONAL";"D1, D2, D3, D4";"Check availability";"";
